time,round,task_id,task_name,memory_size
1,1,r01_000_SystemWifiTurnOn,SystemWifiTurnOn,1
2,1,r01_001_CameraTakePhoto,CameraTakePhoto,3
3,1,r01_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,5
4,1,r01_003_SimpleSmsSend,SimpleSmsSend,6
5,1,r01_004_BrowserDraw,BrowserDraw,6
6,2,r02_000_SystemWifiTurnOn,SystemWifiTurnOn,7
7,2,r02_001_CameraTakePhoto,CameraTakePhoto,8
8,2,r02_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,9
9,2,r02_003_SimpleSmsSend,SimpleSmsSend,9
10,2,r02_004_BrowserDraw,BrowserDraw,9
11,3,r03_000_SystemWifiTurnOn,SystemWifiTurnOn,10
12,3,r03_001_CameraTakePhoto,CameraTakePhoto,10
13,3,r03_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,10
14,3,r03_003_SimpleSmsSend,SimpleSmsSend,11
15,3,r03_004_BrowserDraw,BrowserDraw,11
16,4,r04_000_SystemWifiTurnOn,SystemWifiTurnOn,12
17,4,r04_001_CameraTakePhoto,CameraTakePhoto,12
18,4,r04_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,12
19,4,r04_003_SimpleSmsSend,SimpleSmsSend,12
20,4,r04_004_BrowserDraw,BrowserDraw,12
21,5,r05_000_SystemWifiTurnOn,SystemWifiTurnOn,13
22,5,r05_001_CameraTakePhoto,CameraTakePhoto,13
23,5,r05_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,13
24,5,r05_003_SimpleSmsSend,SimpleSmsSend,13
25,5,r05_004_BrowserDraw,BrowserDraw,13
