method,round,tasks,strict_successes,strict_success_rate,input_tokens,output_tokens,total_tokens,avg_tokens_per_task,total_steps,avg_steps_per_task,runtime_errors,infrastructure_retries,infrastructure_failure_after_retry,end_memory_size
Baseline A,1,5,2,0.4,265258,6052,271310,54262.0,52,10.4,0,0,0,0
Baseline A,2,5,1,0.2,261607,5750,267357,53471.4,58,11.6,0,0,0,0
Baseline A,3,5,1,0.2,256011,5684,261695,52339.0,59,11.8,0,0,0,0
Baseline A,4,5,1,0.2,224556,4884,229440,45888.0,59,11.8,0,0,0,0
Baseline A,5,5,2,0.4,204480,3868,208348,41669.6,55,11.0,0,0,0,0
Baseline B,1,5,1,0.2,225024,5131,230155,46031.0,57,11.4,0,0,0,5
Baseline B,2,5,1,0.2,207474,4422,211896,42379.2,57,11.4,0,0,0,10
Baseline B,3,5,1,0.2,244721,5464,250185,50037.0,58,11.6,0,0,0,15
Baseline B,4,5,1,0.2,218873,4709,223582,44716.4,57,11.4,0,0,0,20
Baseline B,5,5,2,0.4,228003,4410,232413,46482.6,53,10.6,0,0,0,25
DMS,1,5,1,0.2,247130,5135,252265,50453.0,67,13.4,0,1,0,6
DMS,2,5,1,0.2,187334,3860,191194,38238.8,58,11.6,1,1,1,9
DMS,3,5,1,0.2,164618,2648,167266,33453.2,44,8.8,0,0,0,11
DMS,4,5,1,0.2,197445,3722,201167,40233.4,52,10.4,0,0,0,12
DMS,5,5,1,0.2,171652,3302,174954,34990.8,48,9.6,0,0,0,13
