method,task_id,task_name,round,success,failure_category,steps,control_turns,event_count,input_tokens,output_tokens,memory_size_after,attempt_count,infrastructure_retry_count
Baseline A,r01_000_SystemWifiTurnOn,SystemWifiTurnOn,1,False,model_failure,10,3,11,46830,1000,0,1,0
Baseline A,r01_001_CameraTakePhoto,CameraTakePhoto,1,False,model_failure,9,12,15,65621,1513,0,1,0
Baseline A,r01_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,1,True,success,7,8,11,53759,902,0,1,0
Baseline A,r01_003_SimpleSmsSend,SimpleSmsSend,1,True,success,6,3,7,25295,548,0,1,0
Baseline A,r01_004_BrowserDraw,BrowserDraw,1,False,model_failure,20,3,21,73753,2089,0,1,0
Baseline A,r02_000_SystemWifiTurnOn,SystemWifiTurnOn,2,False,model_failure,10,3,11,50798,983,0,1,0
Baseline A,r02_001_CameraTakePhoto,CameraTakePhoto,2,False,model_failure,9,12,15,65621,1506,0,1,0
Baseline A,r02_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,2,True,success,7,8,11,53759,905,0,1,0
Baseline A,r02_003_SimpleSmsSend,SimpleSmsSend,2,False,model_failure,12,4,13,51578,1150,0,1,0
Baseline A,r02_004_BrowserDraw,BrowserDraw,2,False,model_failure,20,4,21,39851,1206,0,1,0
Baseline A,r03_000_SystemWifiTurnOn,SystemWifiTurnOn,3,False,model_failure,10,3,11,49581,969,0,1,0
Baseline A,r03_001_CameraTakePhoto,CameraTakePhoto,3,False,model_failure,10,5,12,43952,1017,0,1,0
Baseline A,r03_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,3,True,success,7,6,10,46395,770,0,1,0
Baseline A,r03_003_SimpleSmsSend,SimpleSmsSend,3,False,model_failure,12,4,13,51552,1251,0,1,0
Baseline A,r03_004_BrowserDraw,BrowserDraw,3,False,model_failure,20,4,21,64531,1677,0,1,0
Baseline A,r04_000_SystemWifiTurnOn,SystemWifiTurnOn,4,False,model_failure,10,3,11,46938,955,0,1,0
Baseline A,r04_001_CameraTakePhoto,CameraTakePhoto,4,False,model_failure,9,12,15,65621,1513,0,1,0
Baseline A,r04_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,4,True,success,8,9,12,50694,1038,0,1,0
Baseline A,r04_003_SimpleSmsSend,SimpleSmsSend,4,False,model_failure,12,4,13,51552,1267,0,1,0
Baseline A,r04_004_BrowserDraw,BrowserDraw,4,False,model_failure,20,3,20,9751,111,0,1,0
Baseline A,r05_000_SystemWifiTurnOn,SystemWifiTurnOn,5,False,model_failure,10,3,11,49758,956,0,1,0
Baseline A,r05_001_CameraTakePhoto,CameraTakePhoto,5,False,model_failure,10,5,12,43952,1017,0,1,0
Baseline A,r05_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,5,True,success,7,6,10,46395,760,0,1,0
Baseline A,r05_003_SimpleSmsSend,SimpleSmsSend,5,True,success,8,3,9,33227,744,0,1,0
Baseline A,r05_004_BrowserDraw,BrowserDraw,5,False,model_failure,20,3,20,31148,391,0,1,0
Baseline B,r01_000_SystemWifiTurnOn,SystemWifiTurnOn,1,False,model_failure,10,6,12,64094,1163,1,1,0
Baseline B,r01_001_CameraTakePhoto,CameraTakePhoto,1,False,model_failure,10,7,13,51668,1108,2,1,0
Baseline B,r01_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,1,True,success,5,2,6,20225,489,3,1,0
Baseline B,r01_003_SimpleSmsSend,SimpleSmsSend,1,False,model_failure,12,2,13,46191,1200,4,1,0
Baseline B,r01_004_BrowserDraw,BrowserDraw,1,False,model_failure,20,5,22,42846,1171,5,1,0
Baseline B,r02_000_SystemWifiTurnOn,SystemWifiTurnOn,2,False,model_failure,10,3,11,51932,977,6,1,0
Baseline B,r02_001_CameraTakePhoto,CameraTakePhoto,2,False,model_failure,10,6,13,52374,1163,7,1,0
Baseline B,r02_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,2,True,success,5,2,6,21369,478,8,1,0
Baseline B,r02_003_SimpleSmsSend,SimpleSmsSend,2,False,model_failure,12,2,13,47377,1222,9,1,0
Baseline B,r02_004_BrowserDraw,BrowserDraw,2,False,model_failure,20,4,21,34422,582,10,1,0
Baseline B,r03_000_SystemWifiTurnOn,SystemWifiTurnOn,3,False,model_failure,10,3,11,54238,951,11,1,0
Baseline B,r03_001_CameraTakePhoto,CameraTakePhoto,3,False,model_failure,10,4,12,46494,993,12,1,0
Baseline B,r03_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,3,True,success,6,2,7,26338,632,13,1,0
Baseline B,r03_003_SimpleSmsSend,SimpleSmsSend,3,False,model_failure,12,4,13,59751,1181,14,1,0
Baseline B,r03_004_BrowserDraw,BrowserDraw,3,False,model_failure,20,2,20,57900,1707,15,1,0
Baseline B,r04_000_SystemWifiTurnOn,SystemWifiTurnOn,4,False,model_failure,10,3,11,55184,953,16,1,0
Baseline B,r04_001_CameraTakePhoto,CameraTakePhoto,4,False,model_failure,10,4,11,48617,898,17,1,0
Baseline B,r04_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,4,True,success,5,3,7,28115,589,18,1,0
Baseline B,r04_003_SimpleSmsSend,SimpleSmsSend,4,False,model_failure,12,2,13,48269,1202,19,1,0
Baseline B,r04_004_BrowserDraw,BrowserDraw,4,False,model_failure,20,1,20,38688,1067,20,1,0
Baseline B,r05_000_SystemWifiTurnOn,SystemWifiTurnOn,5,True,success,5,3,6,33095,414,21,1,0
Baseline B,r05_001_CameraTakePhoto,CameraTakePhoto,5,False,model_failure,10,7,13,61701,1128,22,1,0
Baseline B,r05_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,5,True,success,6,2,7,26330,584,23,1,0
Baseline B,r05_003_SimpleSmsSend,SimpleSmsSend,5,False,model_failure,12,4,13,59793,1161,24,1,0
Baseline B,r05_004_BrowserDraw,BrowserDraw,5,False,model_failure,20,1,20,47084,1123,25,1,0
DMS,r01_000_SystemWifiTurnOn,SystemWifiTurnOn,1,False,model_failure,10,4,11,56363,891,1,1,0
DMS,r01_001_CameraTakePhoto,CameraTakePhoto,1,False,model_failure,10,5,12,31151,480,3,1,0
DMS,r01_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,1,True,success,4,3,5,20053,353,5,1,0
DMS,r01_003_SimpleSmsSend,SimpleSmsSend,1,False,model_failure,12,4,13,55491,1189,6,1,0
DMS,r01_004_BrowserDraw,BrowserDraw,1,False,model_failure,31,2,30,84072,2222,6,2,1
DMS,r02_000_SystemWifiTurnOn,SystemWifiTurnOn,2,False,model_failure,10,7,13,47077,679,7,1,0
DMS,r02_001_CameraTakePhoto,CameraTakePhoto,2,False,model_failure,10,7,13,41201,720,8,1,0
DMS,r02_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,2,True,success,4,3,5,7516,75,9,1,0
DMS,r02_003_SimpleSmsSend,SimpleSmsSend,2,False,model_failure,12,4,13,56296,1125,9,1,0
DMS,r02_004_BrowserDraw,BrowserDraw,2,False,infrastructure_failure_after_retry,22,2,20,35244,1261,9,2,1
DMS,r03_000_SystemWifiTurnOn,SystemWifiTurnOn,3,False,model_failure,8,12,14,39931,500,10,1,0
DMS,r03_001_CameraTakePhoto,CameraTakePhoto,3,False,model_failure,6,12,12,21736,216,10,1,0
DMS,r03_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,3,True,success,4,3,5,20691,302,10,1,0
DMS,r03_003_SimpleSmsSend,SimpleSmsSend,3,False,model_failure,6,12,12,24003,191,11,1,0
DMS,r03_004_BrowserDraw,BrowserDraw,3,False,model_failure,20,5,22,58257,1439,11,1,0
DMS,r04_000_SystemWifiTurnOn,SystemWifiTurnOn,4,False,model_failure,6,12,12,30565,262,12,1,0
DMS,r04_001_CameraTakePhoto,CameraTakePhoto,4,False,model_failure,10,4,11,44394,751,12,1,0
DMS,r04_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,4,True,success,4,3,5,7533,75,12,1,0
DMS,r04_003_SimpleSmsSend,SimpleSmsSend,4,False,model_failure,12,6,14,56673,1126,12,1,0
DMS,r04_004_BrowserDraw,BrowserDraw,4,False,model_failure,20,5,22,58280,1508,12,1,0
DMS,r05_000_SystemWifiTurnOn,SystemWifiTurnOn,5,False,model_failure,6,12,12,30582,257,13,1,0
DMS,r05_001_CameraTakePhoto,CameraTakePhoto,5,False,model_failure,6,12,12,21770,221,13,1,0
DMS,r05_002_AudioRecorderRecordAudio,AudioRecorderRecordAudio,5,True,success,4,3,5,7509,75,13,1,0
DMS,r05_003_SimpleSmsSend,SimpleSmsSend,5,False,model_failure,12,4,13,55598,1214,13,1,0
DMS,r05_004_BrowserDraw,BrowserDraw,5,False,model_failure,20,1,20,56193,1535,13,1,0
