time,round,task_id,task_name,memory_size
1,1,r01_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,1
2,1,r01_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,2
3,1,r01_002_CameraTakePhoto,CameraTakePhoto,3
4,1,r01_003_BrowserDraw,BrowserDraw,4
5,1,r01_004_ClockStopWatchRunning,ClockStopWatchRunning,6
6,2,r02_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,6
7,2,r02_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,6
8,2,r02_002_CameraTakePhoto,CameraTakePhoto,6
9,2,r02_003_BrowserDraw,BrowserDraw,6
10,2,r02_004_ClockStopWatchRunning,ClockStopWatchRunning,6
11,3,r03_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,8
12,3,r03_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,9
13,3,r03_002_CameraTakePhoto,CameraTakePhoto,9
14,3,r03_003_BrowserDraw,BrowserDraw,9
15,3,r03_004_ClockStopWatchRunning,ClockStopWatchRunning,9
16,4,r04_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,9
17,4,r04_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,9
18,4,r04_002_CameraTakePhoto,CameraTakePhoto,9
19,4,r04_003_BrowserDraw,BrowserDraw,10
20,4,r04_004_ClockStopWatchRunning,ClockStopWatchRunning,10
21,5,r05_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,10
22,5,r05_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,10
23,5,r05_002_CameraTakePhoto,CameraTakePhoto,11
24,5,r05_003_BrowserDraw,BrowserDraw,12
25,5,r05_004_ClockStopWatchRunning,ClockStopWatchRunning,12
