method,round,tasks,strict_successes,strict_success_rate,input_tokens,output_tokens,total_tokens,avg_tokens_per_task,total_steps,avg_steps_per_task,runtime_errors,end_memory_size
Baseline A,1,5,1,0.2,271957,5009,276966,55393.2,69,13.8,0,0
Baseline A,2,5,1,0.2,388744,5623,394367,78873.4,69,13.8,0,0
Baseline A,3,5,1,0.2,348093,6545,354638,70927.6,69,13.8,0,0
Baseline A,4,5,1,0.2,260651,4875,265526,53105.2,70,14.0,0,0
Baseline A,5,5,1,0.2,391221,7132,398353,79670.6,70,14.0,0,0
Baseline B,1,5,1,0.2,370785,5414,376199,75239.8,69,13.8,0,5
Baseline B,2,5,2,0.4,379199,5938,385137,77027.4,67,13.4,0,10
Baseline B,3,5,1,0.2,386884,6081,392965,78593.0,69,13.8,0,15
Baseline B,4,5,2,0.4,400826,6623,407449,81489.8,69,13.8,0,20
Baseline B,5,5,3,0.6,442203,6325,448528,89705.6,62,12.4,0,25
DMS,1,5,2,0.4,234925,3123,238048,47609.6,64,12.8,0,6
DMS,2,5,2,0.4,237668,3616,241284,48256.8,63,12.6,0,6
DMS,3,5,3,0.6,250808,3159,253967,50793.4,61,12.2,0,9
DMS,4,5,3,0.6,136007,1771,137778,27555.6,58,11.6,0,10
DMS,5,5,3,0.6,179326,2594,181920,36384.0,59,11.8,0,12
