method,task_id,task_name,round,success,failure_category,steps,control_turns,event_count,input_tokens,output_tokens,memory_size_after,error
Baseline A,r01_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,1,False,,12,,,65495,934,0,
Baseline A,r01_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,1,False,,24,,,43249,758,0,
Baseline A,r01_002_CameraTakePhoto,CameraTakePhoto,1,True,,3,,,9806,146,0,
Baseline A,r01_003_BrowserDraw,BrowserDraw,1,False,,20,,,111228,2391,0,
Baseline A,r01_004_ClockStopWatchRunning,ClockStopWatchRunning,1,False,,10,,,42179,780,0,
Baseline A,r02_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,2,False,,12,,,65495,941,0,
Baseline A,r02_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,2,False,,24,,,150331,2069,0,
Baseline A,r02_002_CameraTakePhoto,CameraTakePhoto,2,True,,3,,,9806,149,0,
Baseline A,r02_003_BrowserDraw,BrowserDraw,2,False,,20,,,120744,1737,0,
Baseline A,r02_004_ClockStopWatchRunning,ClockStopWatchRunning,2,False,,10,,,42368,727,0,
Baseline A,r03_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,3,False,,12,,,56199,1324,0,
Baseline A,r03_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,3,False,,24,,,85592,1822,0,
Baseline A,r03_002_CameraTakePhoto,CameraTakePhoto,3,True,,3,,,9806,133,0,
Baseline A,r03_003_BrowserDraw,BrowserDraw,3,False,,20,,,154201,2544,0,
Baseline A,r03_004_ClockStopWatchRunning,ClockStopWatchRunning,3,False,,10,,,42295,722,0,
Baseline A,r04_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,4,False,,12,,,61608,1089,0,
Baseline A,r04_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,4,False,,24,,,47584,772,0,
Baseline A,r04_002_CameraTakePhoto,CameraTakePhoto,4,True,,4,,,13201,230,0,
Baseline A,r04_003_BrowserDraw,BrowserDraw,4,False,,20,,,81517,1846,0,
Baseline A,r04_004_ClockStopWatchRunning,ClockStopWatchRunning,4,False,,10,,,56741,938,0,
Baseline A,r05_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,5,False,,12,,,61591,1162,0,
Baseline A,r05_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,5,False,,24,,,176906,2158,0,
Baseline A,r05_002_CameraTakePhoto,CameraTakePhoto,5,True,,4,,,13201,235,0,
Baseline A,r05_003_BrowserDraw,BrowserDraw,5,False,,20,,,97228,2844,0,
Baseline A,r05_004_ClockStopWatchRunning,ClockStopWatchRunning,5,False,,10,,,42295,733,0,
Baseline B,r01_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,1,False,,12,,,65269,989,1,
Baseline B,r01_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,1,False,,24,,,151680,2023,2,
Baseline B,r01_002_CameraTakePhoto,CameraTakePhoto,1,True,,3,,,11050,152,3,
Baseline B,r01_003_BrowserDraw,BrowserDraw,1,False,,20,,,102820,1511,4,
Baseline B,r01_004_ClockStopWatchRunning,ClockStopWatchRunning,1,False,,10,,,39966,739,5,
Baseline B,r02_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,2,True,,10,,,42110,904,6,
